0.000000000000000000e+00,9.579787215129666578e+00,4.074650946591364509e+00,2.817239849268145413e+00,7.469346297379224175e+00,1.823939241569572767e+00,7.308529642982348307e+00,7.565317925869782023e+00,9.146631507742389644e+00,1.057013129463538625e+01,2.976358980035175517e+00,8.545835672217490853e+00,1.016531535638577743e+01,4.343642571574198641e+00,8.608886600861236360e+00,9.824034553718304252e+00,3.310688921776668181e+00,5.364323759237686673e+00,5.612485888767570152e+00,1.024637897006945764e+01
9.579787215129666578e+00,0.000000000000000000e+00,7.890586302468314273e+00,8.459698340248715809e+00,6.038342240589096299e+00,7.833472200319753220e+00,3.568106305841970194e+00,2.076461384447783942e+00,7.666438383209588370e-01,1.074410348521875669e+00,8.118817484512771188e+00,1.864817826417686231e+00,1.871491709608951615e+00,5.526726667364290080e+00,1.907215544859089285e+00,8.440707431180650699e-01,8.693023906986596216e+00,4.395607765571205583e+00,4.480226383997981010e+00,7.609875019461307399e-01
4.074650946591364509e+00,7.890586302468314273e+00,0.000000000000000000e+00,1.288778106880739793e+00,8.685575891972757034e+00,3.818721946681017165e+00,7.233916658932850297e+00,6.358083065603714168e+00,7.230039356252286886e+00,8.638057235137862833e+00,1.101110815682336375e+00,6.284857725755948366e+00,9.153660581947187680e+00,4.806617724726796936e+00,6.305669187091250016e+00,8.447751821479894119e+00,6.357003392948606724e+00,5.104108492514519924e+00,3.435694165289499669e+00,8.648610662090634449e+00
2.817239849268145413e+00,8.459698340248715809e+00,1.288778106880739793e+00,0.000000000000000000e+00,8.326415205716918067e+00,2.894600155146132003e+00,7.241653308156559277e+00,6.718317411691242746e+00,7.862493690520560463e+00,9.302441884827457486e+00,3.457274111625065482e-01,7.015028094205900011e+00,9.521562502197214783e+00,4.493852148425062865e+00,7.051309324154340530e+00,8.922941684446815458e+00,5.396001654884433840e+00,5.065174059552304264e+00,4.003792709261772664e+00,9.201625934094414205e+00
7.469346297379224175e+00,6.038342240589096299e+00,8.685575891972757034e+00,8.326415205716918067e+00,0.000000000000000000e+00,5.849513430511343870e+00,2.589268184634546444e+00,4.607344550774784331e+00,6.279524846836175733e+00,7.011156261737874651e+00,8.116019190607607570e+00,6.702299820596820723e+00,5.096427037132775340e+00,3.881874132619596462e+00,6.803422084852196683e+00,5.573680938738439394e+00,4.705159399855353364e+00,3.814518354040101311e+00,6.298683259015632530e+00,6.201136989475251937e+00
1.823939241569572767e+00,7.833472200319753220e+00,3.818721946681017165e+00,2.894600155146132003e+00,5.849513430511343870e+00,0.000000000000000000e+00,5.489951430138763300e+00,5.791371806636114172e+00,7.445711550494366726e+00,8.847562850635144471e+00,2.837560018656049454e+00,6.935117558193663712e+00,8.349127781761078282e+00,2.519896609953143241e+00,7.006651704730320951e+00,8.036449065599020614e+00,2.539189301997895942e+00,3.551544564240776136e+00,4.166454311638142727e+00,8.479111979455323578e+00
7.308529642982348307e+00,3.568106305841970194e+00,7.233916658932850297e+00,7.241653308156559277e+00,2.589268184634546444e+00,5.489951430138763300e+00,0.000000000000000000e+00,2.026862581520299411e+00,3.718450822289512736e+00,4.603655614434530641e+00,6.958245976253660814e+00,4.116954438204140310e+00,3.135256669331238921e+00,2.981244524349760283e+00,4.217798135155617523e+00,3.269307001436997595e+00,5.530447626206956180e+00,2.176510258392742703e+00,4.233034351666578488e+00,3.876597054937799047e+00
7.565317925869782023e+00,2.076461384447783942e+00,6.358083065603714168e+00,6.718317411691242746e+00,4.607344550774784331e+00,5.791371806636114172e+00,2.026862581520299411e+00,0.000000000000000000e+00,1.900203589359288792e+00,3.136400132788319528e+00,6.390427225743001927e+00,2.095921748892821235e+00,2.808637496474165385e+00,3.450272220387332833e+00,2.197250090681120316e+00,2.268288000737519905e+00,6.641049637725596533e+00,2.319182712093610377e+00,2.964615696232036690e+00,2.688117797337601811e+00
9.146631507742389644e+00,7.666438383209588370e-01,7.230039356252286886e+00,7.862493690520560463e+00,6.279524846836175733e+00,7.445711550494366726e+00,3.718450822289512736e+00,1.900203589359288792e+00,0.000000000000000000e+00,1.446590578356572898e+00,7.518766853419097451e+00,1.099078071361289766e+00,2.593295122593606727e+00,5.261817216253632523e+00,1.140658724439663319e+00,1.581462993765305747e+00,8.511219609170630918e+00,4.141825812407410545e+00,3.860529127732653887e+00,1.494904025269004677e+00
1.057013129463538625e+01,1.074410348521875669e+00,8.638057235137862833e+00,9.302441884827457486e+00,7.011156261737874651e+00,8.847562850635144471e+00,4.603655614434530641e+00,3.136400132788319528e+00,1.446590578356572898e+00,0.000000000000000000e+00,8.958137160874374061e+00,2.372733740928303803e+00,2.329623163211214987e+00,6.582396281697858953e+00,2.370047770841936963e+00,1.472985977436922722e+00,9.765218499346111969e+00,5.451628263485948978e+00,5.298736407447925956e+00,8.781772755944478037e-01
